,parameter C1,parameter C2,parameter W,parameter CR,parameter MR,fitness,sequence,parameter C
31,0.1,,0.2,0.2,0.2,0.0025974025974025974,"[22, 8, 16, 3, 21, 26, 20, 10, 19, 21, 8, 24, 10, 9, 12, 14, 11, 26, 17, 18, 25, 13, 11, 22, 8, 12, 23, 21, 12, 19, 3, 15, 1, 25, 23, 16, 4, 5, 23, 9, 15, 6, 20, 20, 24, 2, 1, 2, 18, 24, 5, 0, 4, 7, 7, 19, 25, 22, 14, 15, 5, 2, 3, 0, 1, 17, 4, 10, 6, 9, 18, 16, 11, 13, 13, 7, 26, 14, 17, 6, 0]",0.1
32,0.1,,0.2,0.2,0.3,0.0024096385542168677,"[23, 20, 16, 5, 9, 16, 20, 8, 4, 23, 16, 18, 8, 25, 15, 1, 3, 5, 6, 17, 18, 3, 22, 7, 1, 25, 19, 2, 7, 11, 26, 22, 14, 0, 12, 0, 10, 9, 13, 22, 21, 24, 3, 14, 12, 13, 24, 25, 4, 1, 21, 17, 2, 10, 18, 5, 7, 8, 13, 15, 23, 0, 26, 9, 17, 12, 4, 26, 21, 10, 19, 2, 24, 14, 19, 11, 6, 20, 6, 11, 15]",0.1
33,0.1,,0.2,0.2,0.4,0.0025906735751295338,"[18, 11, 21, 14, 19, 25, 8, 1, 21, 6, 1, 0, 7, 23, 6, 20, 8, 9, 13, 0, 4, 17, 3, 18, 16, 26, 13, 15, 19, 24, 22, 24, 4, 15, 16, 23, 10, 17, 4, 22, 12, 17, 22, 12, 3, 26, 2, 7, 25, 18, 2, 20, 15, 5, 5, 8, 16, 3, 24, 14, 7, 21, 23, 19, 9, 14, 10, 25, 11, 12, 26, 11, 2, 0, 1, 5, 20, 6, 10, 9, 13]",0.1
34,0.1,,0.2,0.2,0.5,0.002398081534772182,"[22, 19, 22, 25, 1, 21, 26, 11, 21, 18, 7, 6, 3, 2, 0, 23, 24, 22, 10, 13, 26, 23, 25, 16, 3, 13, 20, 1, 11, 3, 10, 10, 11, 21, 15, 4, 0, 14, 9, 7, 19, 9, 18, 2, 17, 7, 20, 20, 16, 0, 17, 5, 25, 14, 16, 18, 5, 14, 13, 12, 2, 15, 1, 5, 24, 6, 23, 12, 8, 17, 6, 12, 9, 4, 26, 8, 24, 15, 8, 19, 4]",0.1
35,0.1,,0.2,0.3,0.1,0.0022935779816513763,"[24, 3, 25, 16, 6, 1, 9, 20, 11, 14, 8, 13, 10, 22, 8, 23, 16, 2, 17, 5, 6, 12, 14, 9, 15, 19, 0, 0, 26, 13, 1, 12, 1, 2, 12, 19, 23, 18, 3, 21, 2, 22, 9, 18, 24, 24, 0, 19, 21, 3, 4, 17, 7, 11, 4, 16, 18, 5, 22, 25, 10, 21, 14, 10, 25, 11, 6, 4, 23, 26, 7, 8, 20, 5, 26, 15, 17, 7, 13, 15, 20]",0.1
36,0.1,,0.2,0.3,0.2,0.002544529262086514,"[5, 2, 19, 15, 23, 11, 14, 21, 3, 25, 7, 15, 13, 16, 23, 5, 19, 2, 23, 13, 10, 18, 24, 12, 16, 1, 12, 12, 13, 22, 4, 0, 1, 8, 3, 6, 19, 11, 20, 11, 5, 9, 10, 6, 18, 7, 2, 8, 16, 14, 18, 24, 26, 6, 24, 10, 21, 22, 8, 0, 20, 17, 22, 17, 15, 21, 9, 25, 4, 14, 25, 26, 9, 3, 0, 1, 7, 20, 26, 17, 4]",0.1
37,0.1,,0.2,0.3,0.3,0.0024875621890547263,"[1, 8, 21, 6, 22, 2, 17, 4, 3, 9, 22, 4, 26, 11, 12, 9, 14, 18, 23, 24, 7, 26, 21, 12, 26, 5, 7, 20, 6, 5, 15, 6, 21, 23, 23, 11, 14, 7, 11, 8, 10, 0, 20, 14, 22, 17, 19, 25, 24, 13, 20, 3, 25, 16, 8, 24, 4, 5, 1, 1, 18, 2, 10, 0, 19, 19, 10, 13, 9, 2, 12, 13, 15, 0, 16, 16, 18, 25, 17, 3, 15]",0.1
38,0.1,,0.2,0.3,0.4,0.0024691358024691358,"[3, 13, 25, 17, 2, 11, 8, 15, 14, 6, 23, 15, 4, 21, 10, 24, 7, 7, 3, 20, 25, 15, 2, 19, 5, 24, 10, 1, 26, 9, 19, 18, 11, 14, 26, 8, 5, 9, 0, 18, 17, 13, 6, 10, 12, 2, 14, 24, 20, 25, 23, 9, 12, 26, 8, 3, 22, 0, 18, 21, 13, 1, 1, 22, 12, 20, 4, 23, 16, 21, 7, 0, 22, 16, 19, 5, 11, 6, 16, 4, 17]",0.1
39,0.1,,0.2,0.3,0.5,0.0022522522522522522,"[26, 8, 19, 23, 9, 12, 17, 0, 5, 9, 17, 2, 3, 2, 25, 20, 3, 5, 1, 22, 19, 4, 0, 18, 20, 26, 7, 18, 25, 5, 22, 17, 12, 6, 20, 24, 8, 14, 1, 10, 6, 16, 11, 0, 15, 14, 16, 11, 6, 14, 13, 8, 2, 12, 4, 23, 26, 13, 24, 4, 1, 22, 7, 18, 21, 21, 3, 23, 24, 7, 10, 15, 21, 19, 10, 15, 25, 9, 11, 16, 13]",0.1
40,0.1,,0.2,0.4,0.1,0.0024752475247524753,"[14, 17, 4, 13, 10, 19, 13, 21, 22, 25, 14, 21, 25, 8, 11, 2, 5, 8, 2, 10, 11, 23, 12, 24, 1, 5, 15, 0, 6, 13, 16, 17, 18, 20, 24, 3, 12, 0, 8, 10, 26, 4, 9, 19, 15, 20, 22, 9, 26, 16, 22, 18, 18, 21, 25, 17, 7, 1, 3, 11, 9, 2, 7, 1, 5, 4, 19, 20, 3, 16, 23, 23, 7, 6, 12, 15, 6, 26, 14, 0, 24]",0.1
